,X-coordinate,Y-coordinate,GWL [mNN],GOK [mNN],Base soil layer 1,Base soil layer 2,Base soil layer 3
BH1,46.67650053,11.0079141,6.393713087,9.481822796,5.353114466,-11.59725498,-19.49519009
BH2,19.55231636,5.488913548,9.954451481,9.812477094,3.144862382,-8.540715952,-20
BH3,38.28953715,12.70845606,7.349117217,14.84812568,6.862278674,-10.85469354,-22
BH4,31.2974717,9.41700375,8.887877392,10.66036982,3.609382884,-0.366939373,-18
BH5,44.82873105,8.294997493,5.175014837,10.79154602,5.911475754,-10.49471322,-17.71415278
BH6,0.561998012,1.060294171,8.161052667,11.58419096,2.754481302,-2,-21.35601408
BH7,3.821163327,10.01740466,6.972770068,9.474891778,6.212628416,-3.227884213,-17.85106109
BH8,20.02665243,24.90083767,9.262642202,10.79459216,5.034427714,-5.584054068,-17
BH9,11.06871237,28.91644972,10.94544107,13.34770862,2.90732965,-10.60474238,-16
BH10,15.66139326,15.91315997,5.204784962,13.58789565,7.859719648,-10.02238006,-18
BH11,29.86453727,15.19294863,10.14052955,11.51808825,6.124354577,-0.450496523,-20.20863167
BH12,41.03828589,20.07708127,10.17623625,10.2336856,5.081345971,1.152845507,-18.40255529
BH13,36.33502888,4.634216521,11.07932721,11.19308273,7.865939488,-3,-18
BH14,49.44641786,26.87329722,10.7993443,13.43294194,6.289459633,-2.113214512,-25.56451794
BH15,5.356950043,6.934798822,5.852139908,14.79415891,3.249972947,0.488154143,-14
BH16,22.24659216,1.596815375,10.82929905,13.08989706,7.301837043,-5.359219069,-17.56075171
BH17,26.74999315,26.19954452,5.840260874,14.00634889,7.337279424,-6.306012049,-21
BH18,7.704695132,14.36374565,7.238172187,12.27305185,4.685855036,-7.900904035,-18
BH19,42.34707384,22.8804608,5.442448204,10.25937227,6.060228341,-9.278809095,-20
BH20,32.44793361,22.29398956,8.163550257,13.30134622,6.510523082,-6.248853934,-22.14823345
BH21,13.44473782,17.58721683,10.2686137,14.74586809,3.773032325,-8.358423361,-22.37030482
BH22,34.97671836,18.34947748,11.0086847,11.31912146,5.511712822,-4.301686266,-20
BH23,17.04704067,2.75751361,9.576822628,10.56161673,6.02316224,-2,-21
BH24,25.14942495,28.06872278,6.092503329,11.08506636,6.103306655,-3.228456687,-19.33330617
BH25,9.424204365,21.36958492,5.774851356,10.68151473,4.121587164,-3.315822232,-20
